S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;SAD;SD;Real;Imaginary;MeanB
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,09606141453527384;0,00000000000000e+00;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,07934679240025200;0,00000000000000e+00;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,06997405186534889;3,25449813234139e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,06997405186534889;-3,25449813234139e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,06490573798346233;2,45833090961193e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,06490573798346233;-2,45833090961193e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,06446735745829058;0,00000000000000e+00;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,05825143009435951;4,40087607303965e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,05825143009435951;-4,40087607303965e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,05303673431355760;1,28957312470260e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,05303673431355760;-1,28957312470260e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,04418154512592709;0,00000000000000e+00;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,04214178922354517;4,81547712656601e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,04214178922354517;-4,81547712656601e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,03952022233989894;3,18147506277416e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,03952022233989894;-3,18147506277416e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,03540915010580381;9,42096031616957e-03;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,03540915010580381;-9,42096031616957e-03;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,03353809715852707;4,15483465158110e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,03353809715852707;-4,15483465158110e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,02993832292728826;4,60903625221120e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,02993832292728826;-4,60903625221120e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,02756746421718770;0,00000000000000e+00;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,01589422856350620;1,77311452044544e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,01589422856350620;-1,77311452044544e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,01357249770104962;4,02432569032246e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,01357249770104962;-4,02432569032246e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,01007942945551421;0,00000000000000e+00;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,00743126830079865;4,14906264205641e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,00743126830079865;-4,14906264205641e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-1,00203546376928254;0,00000000000000e+00;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-0,99983914694385545;1,41588587417280e-02;-0,00157910829431870
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,73954568477347493;FALSE;Carrying Capacities;0,010000000000000;-0,99983914694385545;-1,41588587417280e-02;-0,00157910829431870
