S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;TargetAbd;Eigenvalue;Stable;Type
5;1;0;1;0;-0,1;0,18877551020408162;0;0;0;None;Quadratic;FALSE;Normal;0,18119696644134820;2,397326539098195;-1,298533857941059;TRUE;Minimized
5;1;0;1;0;-0,1;0,19387755102040816;0;0;0;None;Quadratic;FALSE;Normal;0,70072072441689670;2,428189003976230;-1,946041631125340;TRUE;Minimized
5;1;0;1;0;-0,1;0,19897959183673466;0;0;0;None;Quadratic;FALSE;Normal;0,85853462573140860;1,680510279471150;-0,945364560430901;TRUE;Minimized
5;1;0;1;0;-0,1;0,20408163265306120;0;0;0;None;Quadratic;FALSE;Normal;0,66484199557453394;2,336098333514257;-1,315946581564086;TRUE;Minimized
5;1;0;1;0;-0,1;0,20918367346938774;0;0;0;None;Quadratic;FALSE;Normal;0,07287165196612477;1,486916217887493;-0,835173372781155;TRUE;Minimized
5;1;0;1;0;-0,1;0,21428571428571427;0;0;0;None;Quadratic;FALSE;Normal;0,99061023700051010;1,581581877817018;-1,118977388493119;TRUE;Minimized
5;1;0;1;0;-0,1;0,21938775510204081;0;0;0;None;Quadratic;FALSE;Normal;0,66249742568470538;6,180339887498947;-2,717679300330526;TRUE;Minimized
5;1;0;1;0;-0,1;0,22448979591836732;0;0;0;None;Quadratic;FALSE;Normal;0,78514302475377917;1,361447227456524;-0,805133834050550;TRUE;Minimized
5;1;0;1;0;-0,1;0,22959183673469385;0;0;0;None;Quadratic;FALSE;Normal;0,63127676467411220;1,436987940424267;-1,005598733555262;TRUE;Minimized
5;1;0;1;0;-0,1;0,23469387755102039;0;0;0;None;Quadratic;FALSE;Normal;0,19728452200070024;2,360679774997897;-0,670301323590211;TRUE;Minimized
5;1;0;1;0;-0,1;0,23979591836734693;0;0;0;None;Quadratic;FALSE;Normal;0,17128615616820753;1,446024505163076;-0,671120375923863;TRUE;Minimized
5;1;0;1;0;-0,1;0,24489795918367346;0;0;0;None;Quadratic;FALSE;Normal;0,80487484112381935;1,431786434583365;-0,614906042327750;TRUE;Minimized
5;1;0;1;0;-0,1;0,25000000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,79515141202136874;1,595230491862414;-0,966755835812305;TRUE;Minimized
5;1;0;1;0;0,0;0,00000000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,87711862451396883;1,000011986009876;-0,999988013990124;TRUE;Minimized
5;1;0;1;0;0,0;0,00510204081632653;0;0;0;None;Quadratic;FALSE;Normal;0,12458575144410133;1,001773318412224;-0,991109210721840;TRUE;Minimized
5;1;0;1;0;0,0;0,01020408163265306;0;0;0;None;Quadratic;FALSE;Normal;0,84938989230431616;1,018874559759044;-1,003942654373785;TRUE;Minimized
5;1;0;1;0;0,0;0,01530612244897959;0;0;0;None;Quadratic;FALSE;Normal;0,66622923966497183;1,019204303255632;-0,989960797473512;TRUE;Minimized
5;1;0;1;0;0,0;0,02040816326530612;0;0;0;None;Quadratic;FALSE;Normal;0,45935246581211686;1,006465217465008;-0,968440312077380;TRUE;Minimized
5;1;0;1;0;0,0;0,02551020408163265;0;0;0;None;Quadratic;FALSE;Normal;0,62684145127423108;1,011916404304031;-0,989113601563602;TRUE;Minimized
5;1;0;1;0;0,0;0,03061224489795918;0;0;0;None;Quadratic;FALSE;Normal;0,69438250688835979;0,999887195453057;-0,950082300702164;TRUE;Minimized
5;1;0;1;0;0,0;0,03571428571428571;0;0;0;None;Quadratic;FALSE;Normal;0,61744452593848109;1,000781866791039;-0,955817469952311;TRUE;Minimized
5;1;0;1;0;0,0;0,04081632653061224;0;0;0;None;Quadratic;FALSE;Normal;0,52396737085655332;1,043481454551292;-0,980417377930372;TRUE;Minimized
5;1;0;1;0;0,0;0,04591836734693877;0;0;0;None;Quadratic;FALSE;Normal;0,99039331241510808;1,090495727067017;-0,972895403668639;TRUE;Minimized
5;1;0;1;0;0,0;0,05102040816326530;0;0;0;None;Quadratic;FALSE;Normal;0,84781657252460718;0,893872104178040;-0,733525380607574;TRUE;Minimized
5;1;0;1;0;0,0;0,05612244897959183;0;0;0;None;Quadratic;FALSE;Normal;0,00982306781224906;1,099223221775794;-0,993701807443776;TRUE;Minimized
5;1;0;1;0;0,0;0,06122448979591837;0;0;0;None;Quadratic;FALSE;Normal;0,95987622765824199;1,089866559280081;-0,908762730039755;TRUE;Minimized
5;1;0;1;0;0,0;0,06632653061224489;0;0;0;None;Quadratic;FALSE;Normal;0,07007040316238999;1,083845979381522;-0,941989020902582;TRUE;Minimized
5;1;0;1;0;0,0;0,07142857142857142;0;0;0;None;Quadratic;FALSE;Normal;0,49689296446740627;1,136874161439636;-1,072697221236891;TRUE;Minimized
5;1;0;1;0;0,0;0,07653061224489795;0;0;0;None;Quadratic;FALSE;Normal;0,17405586317181587;1,078077211081067;-0,961781957494364;TRUE;Minimized
5;1;0;1;0;0,0;0,08163265306122448;0;0;0;None;Quadratic;FALSE;Normal;0,25191509677097201;0,961064956454326;-0,881227146577790;TRUE;Minimized
5;1;0;1;0;0,0;0,08673469387755102;0;0;0;None;Quadratic;FALSE;Normal;0,53227055002935231;1,151878356476115;-0,900977355837542;TRUE;Minimized
5;1;0;1;0;0,0;0,09183673469387754;0;0;0;None;Quadratic;FALSE;Normal;0,98935514641925693;1,011427522371203;-0,883175142752187;TRUE;Minimized
5;1;0;1;0;0,0;0,09693877551020408;0;0;0;None;Quadratic;FALSE;Normal;0,09139949455857277;0,962968032075129;-0,844591773364479;TRUE;Minimized
5;1;0;1;0;0,0;0,10204081632653060;0;0;0;None;Quadratic;FALSE;Normal;0,43544486095197499;1,035295615811421;-0,956769854641817;TRUE;Minimized
5;1;0;1;0;0,0;0,10714285714285714;0;0;0;None;Quadratic;FALSE;Normal;0,79157518688589334;1,066087229824393;-0,927147882899031;TRUE;Minimized
5;1;0;1;0;0,0;0,11224489795918366;0;0;0;None;Quadratic;FALSE;Normal;0,86682506185024977;0,975632017773673;-0,744449425965366;TRUE;Minimized
