S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;p
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,388013645308092237;TRUE;0,9
20;1;0;1;0;0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,388013645308092237;TRUE;1,0
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,154613507678732276;FALSE;0,1
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,154613507678732276;FALSE;0,2
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,154613507678732276;FALSE;0,3
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,154613507678732276;FALSE;0,4
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,154613507678732276;FALSE;0,5
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,154613507678732276;FALSE;0,6
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,154613507678732276;FALSE;0,7
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,154613507678732276;FALSE;0,8
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,154613507678732276;TRUE;0,9
20;1;0;1;0;0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,154613507678732276;TRUE;1,0
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,709921119967475533;FALSE;0,1
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,709921119967475533;FALSE;0,2
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,709921119967475533;FALSE;0,3
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,709921119967475533;FALSE;0,4
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,709921119967475533;FALSE;0,5
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,709921119967475533;TRUE;0,6
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,709921119967475533;TRUE;0,7
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,709921119967475533;TRUE;0,8
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,709921119967475533;TRUE;0,9
20;1;0;1;0;-0,025;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,709921119967475533;TRUE;1,0
20;1;0;1;0;-0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,675924190087243915;FALSE;0,1
20;1;0;1;0;-0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,675924190087243915;FALSE;0,2
20;1;0;1;0;-0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,675924190087243915;FALSE;0,3
20;1;0;1;0;-0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,675924190087243915;FALSE;0,4
20;1;0;1;0;-0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,675924190087243915;FALSE;0,5
20;1;0;1;0;-0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,675924190087243915;FALSE;0,6
20;1;0;1;0;-0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,675924190087243915;FALSE;0,7
20;1;0;1;0;-0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,675924190087243915;TRUE;0,8
20;1;0;1;0;-0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,675924190087243915;TRUE;0,9
20;1;0;1;0;-0,025;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,675924190087243915;TRUE;1,0
20;1;0;1;0;-0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,402168756350874901;FALSE;0,1
20;1;0;1;0;-0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,402168756350874901;FALSE;0,2
20;1;0;1;0;-0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,402168756350874901;FALSE;0,3
20;1;0;1;0;-0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,402168756350874901;FALSE;0,4
20;1;0;1;0;-0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,402168756350874901;FALSE;0,5
20;1;0;1;0;-0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,402168756350874901;FALSE;0,6
20;1;0;1;0;-0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,402168756350874901;FALSE;0,7
20;1;0;1;0;-0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,402168756350874901;FALSE;0,8
20;1;0;1;0;-0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,402168756350874901;TRUE;0,9
20;1;0;1;0;-0,025;1,5;0;0;0;None;Quadratic;FALSE;Normal;0,402168756350874901;TRUE;1,0
20;1;0;1;0;0,000;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,881112689385190606;FALSE;0,1
20;1;0;1;0;0,000;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,881112689385190606;FALSE;0,2
20;1;0;1;0;0,000;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,881112689385190606;FALSE;0,3
20;1;0;1;0;0,000;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,881112689385190606;FALSE;0,4
20;1;0;1;0;0,000;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,881112689385190606;FALSE;0,5
20;1;0;1;0;0,000;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,881112689385190606;FALSE;0,6
20;1;0;1;0;0,000;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,881112689385190606;TRUE;0,7
20;1;0;1;0;0,000;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,881112689385190606;TRUE;0,8
20;1;0;1;0;0,000;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,881112689385190606;TRUE;0,9
20;1;0;1;0;0,000;0,5;0;0;0;None;Quadratic;FALSE;Normal;0,881112689385190606;TRUE;1,0
20;1;0;1;0;0,000;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,717076601460576057;FALSE;0,1
20;1;0;1;0;0,000;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,717076601460576057;FALSE;0,2
20;1;0;1;0;0,000;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,717076601460576057;FALSE;0,3
20;1;0;1;0;0,000;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,717076601460576057;FALSE;0,4
20;1;0;1;0;0,000;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,717076601460576057;FALSE;0,5
20;1;0;1;0;0,000;1,0;0;0;0;None;Quadratic;FALSE;Normal;0,717076601460576057;FALSE;0,6
