Abd;Equilibrium;Stability;TargetAbd;SpID;MuA;SigmaA
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,250000000000000;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,250000000000000;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,250000000000000;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,252505010020040;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,252505010020040;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,252505010020040;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,255010020040080;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,255010020040080;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,255010020040080;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,257515030060120;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,257515030060120;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,257515030060120;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,260020040080160;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,260020040080160;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,260020040080160;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,262525050100200;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,262525050100200;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,262525050100200;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,265030060120240;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,265030060120240;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,265030060120240;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,267535070140281;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,267535070140281;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,267535070140281;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,270040080160321;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,270040080160321;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,270040080160321;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,272545090180361;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,272545090180361;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,272545090180361;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,275050100200401;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,275050100200401;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,275050100200401;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,277555110220441;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,277555110220441;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,277555110220441;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,280060120240481;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,280060120240481;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,280060120240481;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,282565130260521;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,282565130260521;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,282565130260521;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,285070140280561;0,5
9,99999999999999e-01;TRUE;TRUE;TRUE;2;0,285070140280561;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,285070140280561;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,287575150300601;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,287575150300601;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,287575150300601;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,290080160320641;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;2;0,290080160320641;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;3;0,290080160320641;0,5
1,00000000000000e+00;TRUE;TRUE;TRUE;1;0,292585170340681;0,5
