S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;b;TargetAbd;Feasible;Eigenvalue;Stable;Type
3;1;0;1;0;-0,25;0,25;0;0;0,582582582582583;1;0,019199074939055479;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,584084084084084;1;0,016667850820477909;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,585585585585586;1;0,014136597722184308;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,587087087087087;1;0,011605315495837105;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,588588588588589;1;0,009074003992086303;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,590090090090090;1;0,006542663060559450;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,591591591591592;1;0,004011292549851457;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,593093093093093;1;0,001479892307518788;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,594594594594595;1;-0,001051537819932136;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,596096096096096;1;-0,003582997987053557;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,597597597597598;1;-0,006114488349464446;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,599099099099099;1;-0,008646009063860413;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,600600600600601;1;-0,011177560288023214;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,602102102102102;1;-0,013709142180829678;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,603603603603604;1;-0,016240754902261165;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,605105105105105;1;-0,018772398613413163;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,606606606606607;1;-0,021304073476507299;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,608108108108108;1;-0,023835779654896892;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,609609609609610;1;-0,026367517313080440;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,611111111111111;1;-0,028899286616709114;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,612612612612613;1;-0,031431087732599693;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,614114114114114;1;-0,033962920828742464;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,615615615615616;1;-0,036494786074312481;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,617117117117117;1;-0,039026683639679607;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,618618618618619;1;-0,041558613696419361;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,620120120120120;1;-0,044090576417323772;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,621621621621622;1;-0,046622571976412536;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,623123123123123;1;-0,049154600548943363;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,624624624624625;1;-0,051686662311421237;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,626126126126126;1;-0,054218757441613738;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,627627627627628;1;-0,056750886118558393;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,629129129129129;1;-0,059283048522576549;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,630630630630631;1;-0,061815244835283459;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,632132132132132;1;-0,064347475239599536;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,633633633633634;1;-0,066879739919765896;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,635135135135135;1;-0,069412039061348602;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,636636636636637;1;-0,071944372851260083;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,638138138138138;1;-0,074476741477764064;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,639639639639640;1;-0,077009145130489759;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,641141141141141;1;-0,079541584000447224;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,642642642642643;1;-0,082074058280035694;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,644144144144144;1;-0,084606568163057949;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,645645645645646;1;-0,087139113844735772;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,647147147147147;1;-0,089671695521717068;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,648648648648649;1;-0,092204313392094742;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,650150150150150;1;-0,094736967655416005;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,651651651651652;1;-0,097269658512699142;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,653153153153153;1;-0,099802386166443546;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,654654654654655;1;-0,102335150820645787;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,656156156156156;1;-0,104867952680811810;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,657657657657658;1;-0,107400791953974381;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,659159159159159;1;-0,109933668848701357;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,660660660660661;1;-0,112466583575116894;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,662162162162162;1;-0,114999536344909573;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,663663663663664;1;-0,117532527371350670;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,665165165165165;1;-0,120065556869308573;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,666666666666667;1;-0,122598625055263782;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,668168168168168;1;-0,125131732147322428;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,669669669669670;1;-0,127664878365233075;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,671171171171171;1;-0,130198063930401842;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,672672672672673;1;-0,132731289065909613;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,674174174174174;1;-0,135264553996523096;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,675675675675676;1;-0,137797858948717211;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,677177177177177;1;-0,140331204150686895;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,678678678678679;1;-0,142864589832363470;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,680180180180180;1;-0,145398016225434495;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,681681681681682;1;-0,147931483563358529;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,683183183183183;1;-0,150464992081379284;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,684684684684685;1;-0,152998542016548528;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,686186186186186;1;-0,155532133607738293;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,687687687687688;1;-0,158065767095663057;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,689189189189189;1;-0,160599442722891811;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,690690690690691;1;-0,163133160733871574;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,692192192192192;1;-0,165666921374941545;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,693693693693694;1;-0,168200724894354253;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,695195195195195;1;-0,170734571542292435;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,696696696696697;1;-0,173268461570888321;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,698198198198198;1;-0,175802395234242292;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,699699699699700;1;-0,178336372788443109;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,701201201201201;1;-0,180870394491585901;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,702702702702703;1;-0,183404460603794034;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,704204204204204;1;-0,185938571387237350;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,705705705705706;1;-0,188472727106151622;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,707207207207207;1;-0,191006928026860395;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,708708708708709;1;-0,193541174417797279;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,710210210210210;1;-0,196075466549521821;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,711711711711712;1;-0,198609804694744541;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,713213213213213;1;-0,201144189128349776;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,714714714714715;1;-0,203678620127411059;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,716216216216216;1;-0,206213097971221171;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,717717717717718;1;-0,208747622941306221;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,719219219219219;1;-0,211282195321454230;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,720720720720721;1;-0,213816815397735810;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,722222222222222;1;-0,216351483458525007;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,723723723723724;1;-0,218886199794527170;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,725225225225225;1;-0,221420964698794659;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,726726726726727;1;-0,223955778466762512;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,728228228228228;1;-0,226490641396261239;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,729729729729730;1;-0,229025553787547076;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,731231231231231;1;-0,231560515943325468;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,732732732732733;1;-0,234095528168776545;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,734234234234234;1;-0,236630590771578775;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,735735735735736;1;-0,239165704061936962;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,737237237237237;1;-0,241700868352606207;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,738738738738739;1;-0,244236083958918854;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,740240240240240;1;-0,246771351198811550;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,741741741741742;1;-0,249306670392851426;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,743243243243243;1;-0,251842041864264565;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,744744744744745;1;-0,254377465938960934;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,746246246246246;1;-0,256912942945566658;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,747747747747748;1;-0,259448473215449060;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,749249249249249;1;-0,261984057082743083;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,750750750750751;1;-0,264519694884386480;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,752252252252252;1;-0,267055386960145302;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,753753753753754;1;-0,269591133652644144;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,755255255255255;1;-0,272126935307395568;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,756756756756757;1;-0,274662792272831580;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,758258258258258;1;-0,277198704900335824;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,759759759759760;1;-0,279734673544271450;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,761261261261261;1;-0,282270698562015421;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,762762762762763;1;-0,284806780313989871;TRUE;Constrained HOIs
