S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;SAD;SD
20;1;0;1;0;-0,4305555555555555;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,1288400865159929;FALSE;Geometric Series;0,75
20;1;0;1;0;-0,4305555555555555;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,1288400865159929;FALSE;Zipf;0,10
20;1;0;1;0;-0,4305555555555555;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,1288400865159929;FALSE;Zipf;0,75
20;1;0;1;0;-0,4305555555555555;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9965791166760027;FALSE;Carrying Capacities;0,10
20;1;0;1;0;-0,4305555555555555;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9965791166760027;FALSE;Carrying Capacities;0,75
20;1;0;1;0;-0,4305555555555555;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9965791166760027;FALSE;Log Normal;0,10
20;1;0;1;0;-0,4305555555555555;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9965791166760027;FALSE;Log Normal;0,75
20;1;0;1;0;-0,4305555555555555;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9965791166760027;FALSE;Geometric Series;0,10
20;1;0;1;0;-0,4305555555555555;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9965791166760027;FALSE;Geometric Series;0,75
20;1;0;1;0;-0,4305555555555555;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9965791166760027;FALSE;Zipf;0,10
20;1;0;1;0;-0,4305555555555555;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9965791166760027;FALSE;Zipf;0,75
20;1;0;1;0;-0,3333333333333334;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,9579098799731582;TRUE;Carrying Capacities;0,10
20;1;0;1;0;-0,3333333333333334;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,9579098799731582;TRUE;Carrying Capacities;0,75
20;1;0;1;0;-0,3333333333333334;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,9579098799731582;FALSE;Log Normal;0,10
20;1;0;1;0;-0,3333333333333334;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,9579098799731582;FALSE;Log Normal;0,75
20;1;0;1;0;-0,3333333333333334;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,9579098799731582;FALSE;Geometric Series;0,10
20;1;0;1;0;-0,3333333333333334;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,9579098799731582;FALSE;Geometric Series;0,75
20;1;0;1;0;-0,3333333333333334;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,9579098799731582;TRUE;Zipf;0,10
20;1;0;1;0;-0,3333333333333334;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,9579098799731582;FALSE;Zipf;0,75
20;1;0;1;0;-0,3333333333333334;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,3525881182868034;TRUE;Carrying Capacities;0,10
20;1;0;1;0;-0,3333333333333334;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,3525881182868034;FALSE;Carrying Capacities;0,75
20;1;0;1;0;-0,3333333333333334;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,3525881182868034;TRUE;Log Normal;0,10
20;1;0;1;0;-0,3333333333333334;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,3525881182868034;FALSE;Log Normal;0,75
20;1;0;1;0;-0,3333333333333334;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,3525881182868034;TRUE;Geometric Series;0,10
20;1;0;1;0;-0,3333333333333334;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,3525881182868034;FALSE;Geometric Series;0,75
20;1;0;1;0;-0,3333333333333334;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,3525881182868034;FALSE;Zipf;0,10
20;1;0;1;0;-0,3333333333333334;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,3525881182868034;FALSE;Zipf;0,75
20;1;0;1;0;-0,2361111111111111;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3495992422103882;TRUE;Carrying Capacities;0,10
20;1;0;1;0;-0,2361111111111111;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3495992422103882;FALSE;Carrying Capacities;0,75
20;1;0;1;0;-0,2361111111111111;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3495992422103882;TRUE;Log Normal;0,10
20;1;0;1;0;-0,2361111111111111;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3495992422103882;FALSE;Log Normal;0,75
20;1;0;1;0;-0,2361111111111111;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3495992422103882;TRUE;Geometric Series;0,10
20;1;0;1;0;-0,2361111111111111;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3495992422103882;FALSE;Geometric Series;0,75
20;1;0;1;0;-0,2361111111111111;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3495992422103882;TRUE;Zipf;0,10
20;1;0;1;0;-0,2361111111111111;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3495992422103882;TRUE;Zipf;0,75
20;1;0;1;0;-0,2361111111111111;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,1242513242177665;TRUE;Carrying Capacities;0,10
20;1;0;1;0;-0,2361111111111111;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,1242513242177665;FALSE;Carrying Capacities;0,75
20;1;0;1;0;-0,2361111111111111;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,1242513242177665;TRUE;Log Normal;0,10
20;1;0;1;0;-0,2361111111111111;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,1242513242177665;FALSE;Log Normal;0,75
20;1;0;1;0;-0,2361111111111111;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,1242513242177665;TRUE;Geometric Series;0,10
20;1;0;1;0;-0,2361111111111111;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,1242513242177665;FALSE;Geometric Series;0,75
20;1;0;1;0;-0,2361111111111111;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,1242513242177665;TRUE;Zipf;0,10
20;1;0;1;0;-0,2361111111111111;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,1242513242177665;TRUE;Zipf;0,75
20;1;0;1;0;-0,1388888888888889;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3484663502313197;TRUE;Carrying Capacities;0,10
20;1;0;1;0;-0,1388888888888889;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3484663502313197;FALSE;Carrying Capacities;0,75
20;1;0;1;0;-0,1388888888888889;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3484663502313197;TRUE;Log Normal;0,10
20;1;0;1;0;-0,1388888888888889;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3484663502313197;FALSE;Log Normal;0,75
20;1;0;1;0;-0,1388888888888889;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3484663502313197;TRUE;Geometric Series;0,10
20;1;0;1;0;-0,1388888888888889;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3484663502313197;FALSE;Geometric Series;0,75
20;1;0;1;0;-0,1388888888888889;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3484663502313197;TRUE;Zipf;0,10
20;1;0;1;0;-0,1388888888888889;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3484663502313197;TRUE;Zipf;0,75
20;1;0;1;0;-0,1388888888888889;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9155546522233635;TRUE;Carrying Capacities;0,10
20;1;0;1;0;-0,1388888888888889;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9155546522233635;FALSE;Carrying Capacities;0,75
20;1;0;1;0;-0,1388888888888889;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9155546522233635;TRUE;Log Normal;0,10
20;1;0;1;0;-0,1388888888888889;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9155546522233635;FALSE;Log Normal;0,75
20;1;0;1;0;-0,1388888888888889;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9155546522233635;TRUE;Geometric Series;0,10
20;1;0;1;0;-0,1388888888888889;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9155546522233635;FALSE;Geometric Series;0,75
20;1;0;1;0;-0,1388888888888889;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9155546522233635;TRUE;Zipf;0,10
20;1;0;1;0;-0,1388888888888889;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,9155546522233635;TRUE;Zipf;0,75
20;1;0;1;0;-0,0416666666666667;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,6216683038510382;TRUE;Carrying Capacities;0,10
20;1;0;1;0;-0,0416666666666667;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,6216683038510382;FALSE;Carrying Capacities;0,75
20;1;0;1;0;-0,0416666666666667;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,6216683038510382;TRUE;Log Normal;0,10
20;1;0;1;0;-0,0416666666666667;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,6216683038510382;FALSE;Log Normal;0,75
20;1;0;1;0;-0,0416666666666667;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,6216683038510382;TRUE;Geometric Series;0,10
20;1;0;1;0;-0,0416666666666667;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,6216683038510382;TRUE;Geometric Series;0,75
20;1;0;1;0;-0,0416666666666667;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,6216683038510382;TRUE;Zipf;0,10
20;1;0;1;0;-0,0416666666666667;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,6216683038510382;TRUE;Zipf;0,75
20;1;0;1;0;-0,0416666666666667;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,2222061939537525;TRUE;Carrying Capacities;0,10
20;1;0;1;0;-0,0416666666666667;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,2222061939537525;TRUE;Carrying Capacities;0,75
20;1;0;1;0;-0,0416666666666667;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,2222061939537525;TRUE;Log Normal;0,10
20;1;0;1;0;-0,0416666666666667;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,2222061939537525;TRUE;Log Normal;0,75
20;1;0;1;0;-0,0416666666666667;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,2222061939537525;TRUE;Geometric Series;0,10
20;1;0;1;0;-0,0416666666666667;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,2222061939537525;FALSE;Geometric Series;0,75
20;1;0;1;0;-0,0416666666666667;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,2222061939537525;TRUE;Zipf;0,10
20;1;0;1;0;-0,0416666666666667;0,1;0;0;0;None;Quadratic;FALSE;Normal;0,2222061939537525;TRUE;Zipf;0,75
20;1;0;1;0;0,0555555555555555;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3688828828744590;FALSE;Carrying Capacities;0,10
20;1;0;1;0;0,0555555555555555;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3688828828744590;TRUE;Carrying Capacities;0,75
20;1;0;1;0;0,0555555555555555;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3688828828744590;FALSE;Log Normal;0,10
20;1;0;1;0;0,0555555555555555;0,0;0;0;0;None;Quadratic;FALSE;Normal;0,3688828828744590;TRUE;Log Normal;0,75
