S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Feasible;Stable;Type
20;1;0;1;0;0,05;0,01;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;5,31205959850922e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;2,55426984047517e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;6,93828313844278e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;8,43662634491920e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;5,20634121028706e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;7,58507447317243e-02;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;7,14360855054110e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;4,12583033554256e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;3,49751546978951e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;6,60912869265303e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;6,68847755761817e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;8,20001334417611e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;4,40351223107427e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;4,66423220932484e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;9,03747118776664e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;4,17652556207031e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;5,93931211624295e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;6,00098394788802e-02;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;3,66674317047000e-03;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;2,44541864842176e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;5,36773010622710e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;5,93453661305830e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;5,70356904994696e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;9,96168989455327e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;3,92093831673265e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;5,09229122893885e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;5,67980682477355e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;5,59030985692516e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;6,98941609589383e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;1,81570162530988e-02;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;4,25214299466461e-02;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;4,31179722072557e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;5,20126912742853e-02;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;2,42797506740317e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;6,25632941955701e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;4,76407379843295e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;8,78529174253345e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;2,78512106742710e-02;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;5,50248888088390e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;3,07106889085844e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;4,04110924573615e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;5,05976712796837e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;6,59357398049906e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;2,36744352616370e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;7,09535089554265e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;9,71102640964091e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;5,50297006266192e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;5,86185868130997e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;5,55988948093727e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;2,72628275444731e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;6,20758732082322e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;3,42531074071303e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;9,05606511980295e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;5,38275838131085e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;8,85145311709493e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;9,07744798110798e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;4,16995689971372e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;2,87431718083099e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;3,71742217335850e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;6,28348929574713e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;3,48785348003730e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;9,26267080474645e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;6,96922704577446e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;4,54928400460631e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;7,54827621858567e-02;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;2,33011278789490e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;4,34485937468708e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;2,24441171856597e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,01;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;8,17278686445206e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;1,32927667116746e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;5,63374068588018e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;9,65387149713933e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;4,62793768383563e-02;1;TRUE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;6,66194976773113e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;8,14295214833692e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;1,11996429739520e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;2,16310619842261e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;6,70021218247712e-02;1;FALSE;Constrained HOIs
20;1;0;1;0;0,05;0,15;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;7,62070825323462e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;5,58067620499060e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;6,58187475753948e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;5,21476965630427e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;9,90038317162544e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;3,03015590878204e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;9,97053300030529e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;5,62784147681668e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;2,68972967984155e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;3,96434800000861e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;7,21578069264069e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;9,92614675778896e-02;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;5,23711177753285e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;8,31564404303208e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;3,70590943843126e-01;1;TRUE;Constrained HOIs
