S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;TargetAbd;Eigenvalue;Stable;Type
3;1;0;1;0;-0,166666666666667;0,0000;0;0;0;None;Quadratic;FALSE;Normal;0,20768860308453441;1,000000000000000;-0,16666666666666671;TRUE;Carrying Capacity
3;1;0;1;0;-0,166666666666667;0,1875;0;0;0;None;Quadratic;FALSE;Normal;0,12052622716873884;1,288088972773905;-0,97385070732603174;TRUE;Minimized
3;1;0;1;0;-0,166666666666667;0,1875;0;0;0;None;Quadratic;FALSE;Normal;0,12052622716873884;1,000000000000000;0,19180897613547512;FALSE;Carrying Capacity
3;1;0;1;0;-0,166666666666667;0,3750;0;0;0;None;Quadratic;FALSE;Normal;0,91301336884498596;1,792982332819295;-1,64042818357864162;TRUE;Minimized
3;1;0;1;0;-0,166666666666667;0,3750;0;0;0;None;Quadratic;FALSE;Normal;0,91301336884498596;1,000000000000000;0,50205530020323663;FALSE;Carrying Capacity
3;1;0;1;0;-0,166666666666667;0,5625;0;0;0;None;Quadratic;FALSE;Normal;0,21796091739088297;2,515705281973547;-1,30961625403112758;TRUE;Minimized
3;1;0;1;0;-0,166666666666667;0,5625;0;0;0;None;Quadratic;FALSE;Normal;0,21796091739088297;1,000000000000000;1,69530382334824070;FALSE;Carrying Capacity
3;1;0;1;0;-0,166666666666667;0,7500;0;0;0;None;Quadratic;FALSE;Normal;0,45456596976146102;0,845536663713576;-0,84551730118807855;TRUE;Minimized
3;1;0;1;0;-0,166666666666667;0,7500;0;0;0;None;Quadratic;FALSE;Normal;0,45456596976146102;1,000000000000000;-0,79656036519572382;TRUE;Carrying Capacity
3;1;0;1;0;0,000000000000000;0,0000;0;0;0;None;Quadratic;FALSE;Normal;0,20672061480581760;1,000003336296424;-0,99999666370357632;TRUE;Minimized
3;1;0;1;0;0,000000000000000;0,0000;0;0;0;None;Quadratic;FALSE;Normal;0,20672061480581760;1,000000000000000;-1,00000000000000000;TRUE;Carrying Capacity
3;1;0;1;0;0,000000000000000;0,1875;0;0;0;None;Quadratic;FALSE;Normal;0,00574241299182177;1,101565012849330;-0,96531874767314063;TRUE;Minimized
3;1;0;1;0;0,000000000000000;0,1875;0;0;0;None;Quadratic;FALSE;Normal;0,00574241299182177;1,000000000000000;-0,43118946839477046;TRUE;Carrying Capacity
3;1;0;1;0;0,000000000000000;0,3750;0;0;0;None;Quadratic;FALSE;Normal;0,59410795150324702;1,217962855690076;-1,08798751496427037;TRUE;Minimized
3;1;0;1;0;0,000000000000000;0,3750;0;0;0;None;Quadratic;FALSE;Normal;0,59410795150324702;1,000000000000000;-0,76794467629622520;TRUE;Carrying Capacity
