S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;b;Coexist;TargetAbd;Eigenvalue;Stable;Type
3;1;0;1;0;0,50;0,555555555555556;0;0;0;1,67320556762408e+42;-2,69983417858177e+41;TRUE;Minimized
3;1;0;1;0;0,50;1,111111111111111;0;0;0;2,21941249844388e+40;-1,41318208507705e+40;TRUE;Minimized
3;1;0;1;0;0,50;1,666666666666667;0;0;1;6,02743133175667e+40;-5,18717752001810e+40;TRUE;Minimized
3;1;0;1;0;0,50;2,222222222222222;0;0;1;2,45118075039907e+00;-2,45118075013980e+00;TRUE;Minimized
3;1;0;1;0;0,50;2,777777777777778;0;0;1;1,69358037444146e+29;-3,67883990800116e+28;TRUE;Minimized
3;1;0;1;0;0,50;3,333333333333333;0;0;0;2,62515173488275e+40;-2,23664048463172e+40;TRUE;Minimized
3;1;0;1;0;0,50;3,888888888888889;0;0;1;1,92620118220974e+00;-1,92620118138916e+00;TRUE;Minimized
3;1;0;1;0;0,50;4,444444444444445;0;0;0;6,82613516952771e-01;-6,82588258973651e-01;TRUE;Minimized
3;1;0;1;0;0,50;5,000000000000000;0;0;1;8,68766768060289e+41;-6,42999908125032e+41;TRUE;Minimized
3;1;0;1;0;0,00;0,000000000000000;0;0;1;1,00000000000000e+00;-1,00000000000000e+00;TRUE;Minimized
3;1;0;1;0;0,00;0,555555555555556;0;0;1;2,12826544856528e+43;-1,89188565896328e+43;TRUE;Minimized
3;1;0;1;0;0,00;1,111111111111111;0;0;1;4,69762475359513e+39;-4,33535479572461e+39;TRUE;Minimized
3;1;0;1;0;0,00;1,666666666666667;0;0;0;1,77115385031965e+00;-1,77112818782940e+00;TRUE;Minimized
3;1;0;1;0;0,00;2,222222222222222;0;0;1;1,15563882820833e+00;-6,29220781642810e-01;TRUE;Minimized
3;1;0;1;0;0,00;2,777777777777778;0;0;1;9,30803489684821e-01;-2,58233359954370e-01;TRUE;Minimized
3;1;0;1;0;0,00;3,333333333333333;0;0;0;4,69192411755037e+42;-4,26717400802555e+42;TRUE;Minimized
3;1;0;1;0;0,00;3,888888888888889;0;0;1;9,75181977524023e-01;-9,75170523079164e-01;TRUE;Minimized
3;1;0;1;0;0,00;4,444444444444445;0;0;1;7,53415338771648e-03;1,01284915260385e+00;FALSE;Minimized
3;1;0;1;0;0,00;5,000000000000000;0;0;0;4,91557479304531e+39;-3,46582674747769e+39;TRUE;Minimized
3;1;0;1;0;0,25;0,000000000000000;0;0;0;9,44093725113966e+36;-8,20518830968676e+36;TRUE;Minimized
3;1;0;1;0;0,25;0,555555555555556;0;0;1;1,37044463536710e+00;-1,37044462521888e+00;TRUE;Minimized
3;1;0;1;0;0,25;1,111111111111111;0;0;1;3,14621639162480e+42;-2,18492989935792e+42;TRUE;Minimized
3;1;0;1;0;0,25;1,666666666666667;0;0;1;4,13070470807570e+00;-4,13070470522894e+00;TRUE;Minimized
3;1;0;1;0;0,25;2,222222222222222;0;0;0;1,19825749073203e+39;-1,08116519352216e+39;TRUE;Minimized
3;1;0;1;0;0,25;2,777777777777778;0;0;0;1,31080197122636e+43;-8,27956312536985e+42;TRUE;Minimized
3;1;0;1;0;0,25;3,333333333333333;0;0;0;5,86951367088970e+39;-1,40064105598000e+39;TRUE;Minimized
3;1;0;1;0;0,25;3,888888888888889;0;0;1;1,23274710066181e+39;-4,70651733069242e+38;TRUE;Minimized
3;1;0;1;0;0,25;4,444444444444445;0;0;0;9,00692727105874e-01;-9,00692725523007e-01;TRUE;Minimized
3;1;0;1;0;0,25;5,000000000000000;0;0;0;2,66240692508478e+37;-2,51697613462603e+37;TRUE;Minimized
3;1;0;1;0;0,50;0,000000000000000;0;0;0;4,60442608118286e+39;-4,52312359981779e+39;TRUE;Minimized
3;1;0;1;0;0,50;0,555555555555556;0;0;1;1,49793281036146e+00;-1,49793280714153e+00;TRUE;Minimized
3;1;0;1;0;0,50;1,111111111111111;0;0;1;7,46671100600799e+36;-1,36388209606148e+36;TRUE;Minimized
3;1;0;1;0;0,50;1,666666666666667;0;0;1;1,36029128525426e+00;-1,36029128299689e+00;TRUE;Minimized
3;1;0;1;0;0,50;2,222222222222222;0;0;0;1,29245186673096e+31;-6,34095048848344e+30;TRUE;Minimized
3;1;0;1;0;0,50;2,777777777777778;0;0;1;2,67116182203905e+34;-1,07352546199107e+34;TRUE;Minimized
3;1;0;1;0;0,50;3,333333333333333;0;0;0;1,51234618944373e+00;-1,43632297435730e+00;TRUE;Minimized
3;1;0;1;0;0,50;3,888888888888889;0;0;0;8,79307597837762e-01;-8,79301471406989e-01;TRUE;Minimized
3;1;0;1;0;0,50;4,444444444444445;0;0;0;1,38388735583481e+40;-1,59217756031089e+39;TRUE;Minimized
3;1;0;1;0;0,50;5,000000000000000;0;0;0;1,29964194518129e+37;-1,28343937814029e+37;TRUE;Minimized
3;1;0;1;0;0,00;0,000000000000000;0;0;1;1,00000000000000e+00;-1,00000000000000e+00;TRUE;Minimized
3;1;0;1;0;0,00;0,555555555555556;0;0;1;1,15890406735589e+00;-1,15890406505080e+00;TRUE;Minimized
3;1;0;1;0;0,00;1,111111111111111;0;0;1;2,80739293349890e+00;-2,80739293219622e+00;TRUE;Minimized
3;1;0;1;0;0,00;1,666666666666667;0;0;0;7,75289929667461e+36;-3,99268954386885e+36;TRUE;Minimized
3;1;0;1;0;0,00;2,222222222222222;0;0;1;1,01076185590837e+00;-1,01076183015029e+00;TRUE;Minimized
3;1;0;1;0;0,00;2,777777777777778;0;0;1;1,39770408647241e+00;-1,39770407648460e+00;TRUE;Minimized
3;1;0;1;0;0,00;3,333333333333333;0;0;1;9,36433004570454e+33;-7,27402824865821e+33;TRUE;Minimized
3;1;0;1;0;0,00;3,888888888888889;0;0;1;1,13151750765582e+40;-2,91983839055234e+39;TRUE;Minimized
3;1;0;1;0;0,00;4,444444444444445;0;0;1;1,01930102106744e+00;-1,01925514997683e+00;TRUE;Minimized
3;1;0;1;0;0,00;5,000000000000000;0;0;0;9,61950713071756e-01;-5,24428078543137e-01;TRUE;Minimized
3;1;0;1;0;0,25;0,000000000000000;0;0;0;9,44093725113966e+36;-8,20518830968676e+36;TRUE;Minimized
3;1;0;1;0;0,25;0,555555555555556;0;0;0;1,58407077318006e+00;-1,58407077294104e+00;TRUE;Minimized
3;1;0;1;0;0,25;1,111111111111111;0;0;0;1,80262567072801e+00;-1,80262566482665e+00;TRUE;Minimized
3;1;0;1;0;0,25;1,666666666666667;0;0;1;8,26779524655145e+37;-4,91828715879169e+37;TRUE;Minimized
3;1;0;1;0;0,25;2,222222222222222;0;0;1;9,34609891184917e-01;-9,34609884313245e-01;TRUE;Minimized
3;1;0;1;0;0,25;2,777777777777778;0;0;0;1,40760939588937e+41;-7,90347896548496e+40;TRUE;Minimized
3;1;0;1;0;0,25;3,333333333333333;0;0;1;1,15211005093871e+00;-1,15211004012774e+00;TRUE;Minimized
3;1;0;1;0;0,25;3,888888888888889;0;0;0;3,07622813852428e+40;-2,67237677724499e+40;TRUE;Minimized
3;1;0;1;0;0,25;4,444444444444445;0;0;1;3,22761538371160e-01;-3,22761436776150e-01;TRUE;Minimized
3;1;0;1;0;0,25;5,000000000000000;0;0;1;1,02619406142602e+36;-3,34503596013606e+35;TRUE;Minimized
3;1;0;1;0;0,50;0,000000000000000;0;0;0;4,60442608118286e+39;-4,52312359981779e+39;TRUE;Minimized
3;1;0;1;0;0,50;0,555555555555556;0;0;1;8,72567206091529e-01;-8,72567205964133e-01;TRUE;Minimized
3;1;0;1;0;0,50;1,111111111111111;0;0;1;9,55185804668437e-01;-9,55185189423070e-01;TRUE;Minimized
3;1;0;1;0;0,50;1,666666666666667;0;0;0;3,74249650701408e+33;-3,56323670773646e+33;TRUE;Minimized
3;1;0;1;0;0,50;2,222222222222222;0;0;0;3,66788029175379e+31;-3,52037631746398e+31;TRUE;Minimized
3;1;0;1;0;0,50;2,777777777777778;0;0;0;1,43928131643349e+00;-1,43799897201540e+00;TRUE;Minimized
3;1;0;1;0;0,50;3,333333333333333;0;0;1;1,52461514758276e+43;-6,75001066243605e+42;TRUE;Minimized
3;1;0;1;0;0,50;3,888888888888889;0;0;1;1,03390162613333e+00;-1,03383704336674e+00;TRUE;Minimized
3;1;0;1;0;0,50;4,444444444444445;0;0;1;1,00427006547045e+00;-1,00427006455976e+00;TRUE;Minimized
3;1;0;1;0;0,50;5,000000000000000;0;0;0;2,24397638272292e-01;-2,24397613755753e-01;TRUE;Minimized
3;1;0;1;0;0,00;0,000000000000000;0;0;1;1,00000000000000e+00;-1,00000000000000e+00;TRUE;Minimized
3;1;0;1;0;0,00;0,555555555555556;0;0;1;2,10724024090504e+36;-5,84901401951145e+35;TRUE;Minimized
3;1;0;1;0;0,00;1,111111111111111;0;0;1;3,43393881311832e+36;-1,59097360679485e+36;TRUE;Minimized
3;1;0;1;0;0,00;1,666666666666667;0;0;1;2,08327359701430e+00;-2,08327359458587e+00;TRUE;Minimized
3;1;0;1;0;0,00;2,222222222222222;0;0;0;4,16168265337491e+41;-3,25073103590732e+41;TRUE;Minimized
3;1;0;1;0;0,00;2,777777777777778;0;0;0;1,07429110709018e+00;-1,07429110671819e+00;TRUE;Minimized
3;1;0;1;0;0,00;3,333333333333333;0;0;1;1,40014309269144e+00;-1,40014308778041e+00;TRUE;Minimized
3;1;0;1;0;0,00;3,888888888888889;0;0;1;1,38301565072804e+43;-1,34528262370240e+43;TRUE;Minimized
3;1;0;1;0;0,00;4,444444444444445;0;0;0;3,48629417383256e+40;-1,98729919182216e+40;TRUE;Minimized
3;1;0;1;0;0,00;5,000000000000000;0;0;1;1,05376921655689e+00;-1,05375932639629e+00;TRUE;Minimized
3;1;0;1;0;0,25;0,000000000000000;0;0;0;9,44093725113966e+36;-8,20518830968676e+36;TRUE;Minimized
3;1;0;1;0;0,25;0,555555555555556;0;0;1;9,23737183845475e-01;-9,23737177157981e-01;TRUE;Minimized
3;1;0;1;0;0,25;1,111111111111111;0;0;0;8,68599483888429e-01;-8,68597259898625e-01;TRUE;Minimized
3;1;0;1;0;0,25;1,666666666666667;0;0;0;1,97543627093817e+36;-5,63058683029874e+35;TRUE;Minimized
3;1;0;1;0;0,25;2,222222222222222;0;0;0;1,84518627226899e+00;-1,84518622215699e+00;TRUE;Minimized
3;1;0;1;0;0,25;2,777777777777778;0;0;0;4,67256317610395e+41;-4,08200051511681e+41;TRUE;Minimized
3;1;0;1;0;0,25;3,333333333333333;0;0;0;5,61141314989535e+38;-4,40408032198644e+38;TRUE;Minimized
3;1;0;1;0;0,25;3,888888888888889;0;0;0;6,87981931143959e+39;-4,90552004178193e+39;TRUE;Minimized
3;1;0;1;0;0,25;4,444444444444445;0;0;0;2,98408721100912e+40;-1,99879475952987e+40;TRUE;Minimized
3;1;0;1;0;0,25;5,000000000000000;0;0;1;5,04178879313341e+40;-2,85792352814152e+40;TRUE;Minimized
3;1;0;1;0;0,50;0,000000000000000;0;0;0;4,60442608118286e+39;-4,52312359981779e+39;TRUE;Minimized
3;1;0;1;0;0,50;0,555555555555556;0;0;1;5,02269611934763e+39;-4,20143963779764e+39;TRUE;Minimized
3;1;0;1;0;0,50;1,111111111111111;0;0;1;8,94739838173655e-01;-8,60220561610961e-01;TRUE;Minimized
3;1;0;1;0;0,50;1,666666666666667;0;0;0;2,94192540772842e+38;-2,68008314796324e+38;TRUE;Minimized
3;1;0;1;0;0,50;2,222222222222222;0;0;0;9,02710940131546e+39;-7,05932538525753e+39;TRUE;Minimized
3;1;0;1;0;0,50;2,777777777777778;0;0;0;1,08871850782597e+37;-2,24356337085949e+36;TRUE;Minimized
3;1;0;1;0;0,50;3,333333333333333;0;0;1;8,08755666192137e+41;-6,04194881480006e+41;TRUE;Minimized
3;1;0;1;0;0,50;3,888888888888889;0;0;1;7,72202281174262e+35;-4,80742015399580e+35;TRUE;Minimized
3;1;0;1;0;0,50;4,444444444444445;0;0;1;1,01830381509083e+29;-7,10072215831212e+28;TRUE;Minimized
3;1;0;1;0;0,50;5,000000000000000;0;0;0;5,00340527000876e-01;-5,00340432693804e-01;TRUE;Minimized
3;1;0;1;0;0,00;0,000000000000000;0;0;1;1,00000000000000e+00;-1,00000000000000e+00;TRUE;Minimized
3;1;0;1;0;0,00;0,555555555555556;0;0;1;1,32140290942606e+00;-7,75919039647131e-01;TRUE;Minimized
3;1;0;1;0;0,00;1,111111111111111;0;0;1;1,10660833201137e+40;-2,49477642161935e+39;TRUE;Minimized
3;1;0;1;0;0,00;1,666666666666667;0;0;1;9,32569663322512e+40;-7,59950262750098e+40;TRUE;Minimized
3;1;0;1;0;0,00;2,222222222222222;0;0;1;8,90100295160203e+34;-7,26825892021722e+34;TRUE;Minimized
3;1;0;1;0;0,00;2,777777777777778;0;0;1;5,16253765946835e+39;-4,35441619193534e+39;TRUE;Minimized
3;1;0;1;0;0,00;3,333333333333333;0;0;0;2,36561471138406e+38;-2,22730101138970e+38;TRUE;Minimized
3;1;0;1;0;0,00;3,888888888888889;0;0;0;9,17948849887563e+40;-8,26374698724443e+40;TRUE;Minimized
3;1;0;1;0;0,00;4,444444444444445;0;0;1;9,29934692881754e-01;-9,29933802123207e-01;TRUE;Minimized
3;1;0;1;0;0,00;5,000000000000000;0;0;1;7,62161170984431e-01;4,40642703075150e-01;FALSE;Minimized
3;1;0;1;0;0,25;0,000000000000000;0;0;0;9,44093725113966e+36;-8,20518830968676e+36;TRUE;Minimized
3;1;0;1;0;0,25;0,555555555555556;0;0;1;1,04053653182434e+00;-7,84383557936193e-01;TRUE;Minimized
3;1;0;1;0;0,25;1,111111111111111;0;0;0;4,98536734469961e+38;-1,57398302769306e+38;TRUE;Minimized
3;1;0;1;0;0,25;1,666666666666667;0;0;0;2,54322346045918e+38;-2,46883475097164e+38;TRUE;Minimized
3;1;0;1;0;0,25;2,222222222222222;0;0;0;7,67603160382822e+32;-3,00056501339343e+32;TRUE;Minimized
3;1;0;1;0;0,25;2,777777777777778;0;0;0;8,85943215919979e-01;-8,85939009215393e-01;TRUE;Minimized
3;1;0;1;0;0,25;3,333333333333333;0;0;1;3,07847261641736e-01;-3,07793133463817e-01;TRUE;Minimized
3;1;0;1;0;0,25;3,888888888888889;0;0;1;8,98484805106845e+36;-2,76654813390071e+36;TRUE;Minimized
3;1;0;1;0;0,25;4,444444444444445;0;0;1;1,00809957818948e+00;-1,00809594994535e+00;TRUE;Minimized
3;1;0;1;0;0,25;5,000000000000000;0;0;0;2,72315085334803e+40;-9,12866730157386e+39;TRUE;Minimized
3;1;0;1;0;0,50;0,000000000000000;0;0;0;4,60442608118286e+39;-4,52312359981779e+39;TRUE;Minimized
3;1;0;1;0;0,50;0,555555555555556;0;0;1;1,11820632493168e+00;-1,11820632240097e+00;TRUE;Minimized
3;1;0;1;0;0,50;1,111111111111111;0;0;0;2,68772231993973e+37;-1,60052554003724e+37;TRUE;Minimized
3;1;0;1;0;0,50;1,666666666666667;0;0;1;6,71160508963177e+36;-2,25377151055439e+36;TRUE;Minimized
3;1;0;1;0;0,50;2,222222222222222;0;0;1;2,12489820536747e+39;-7,16541035902382e+38;TRUE;Minimized
3;1;0;1;0;0,50;2,777777777777778;0;0;0;1,62023428686141e+39;-1,12707027271084e+39;TRUE;Minimized
3;1;0;1;0;0,50;3,333333333333333;0;0;0;2,97545882048608e+40;-1,27699754484203e+40;TRUE;Minimized
3;1;0;1;0;0,50;3,888888888888889;0;0;0;4,12189275985342e+40;-2,67983157481497e+40;TRUE;Minimized
3;1;0;1;0;0,50;4,444444444444445;0;0;1;7,83729942111481e-01;-7,83729846946226e-01;TRUE;Minimized
3;1;0;1;0;0,50;5,000000000000000;0;0;1;2,18571525837749e+00;-2,18571525245786e+00;TRUE;Minimized
